,full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city
136,2009 Hyundai i10 Magna 1.2,₹ 1.30 Lakh,2009,1197 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Petrol,78.9bhp,5,20.36 kmpl,Hatchback,Agra
137,2017 Maruti Swift VDI BSIV,₹ 5 Lakh,2017,1248 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Diesel,74bhp,5,25.2 kmpl,Hatchback,Agra
138,2021 Mahindra Bolero B6 Opt BSVI,₹ 9.50 Lakh,2021,1493 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Diesel,74.96bhp,7,16 kmpl,SUV,Agra
139,2017 Hyundai Creta 1.6 CRDi SX,₹ 7 Lakh,2017,1582 cc,Third Party insurance,Manual,"1,20,000 Kms",Third Owner,Diesel,126.2bhp,5,19.67 kmpl,SUV,Agra
140,2009 Ford Fiesta 1.4 ZXi TDCi ABS,₹ 1.40 Lakh,2009,1399 cc,Third Party insurance,Manual,"1,20,000 Kms",Third Owner,Diesel,68,5,17.8 kmpl,Sedan,Agra
141,2010 Tata New Safari DICOR 2.2 LX 4x2,₹ 2 Lakh,2010,2179 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,138.1bhp,7,11.57 kmpl,SUV,Agra
142,2018 Renault KWID Climber 1.0 AMT,₹ 3.20 Lakh,2018,999 cc,Third Party insurance,Automatic,"20,000 Kms",First Owner,Petrol,67bhp,5,24.04 kmpl,Hatchback,Agra
143,2011 Hyundai i10 Magna,₹ 2 Lakh,2011,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,78.9bhp,5,20.36 kmpl,Hatchback,Agra
144,2015 Hyundai i20 Magna 1.2,₹ 4.10 Lakh,2015,1197 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Petrol,81.83bhp,5,18.6 kmpl,Hatchback,Agra
145,2016 Maruti Swift VXI,₹ 4.40 Lakh,2016,1197 cc,Third Party insurance,Manual,"30,000 Kms",Second Owner,Petrol,81.80bhp,5,21.21 kmpl,Hatchback,Agra
146,2022 Jeep Compass Model S DCT BSVI,₹ 25 Lakh,2022,1368 cc,Third Party insurance,Automatic,"20,000 Kms",First Owner,Petrol,160.77bhp,5,14.1 kmpl,SUV,Agra
147,2019 Maruti Swift Dzire VXI 1.2,₹ 6.50 Lakh,2019,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,81.80bhp,5,21.21 kmpl,Sedan,Agra
148,2020 Toyota Glanza G,₹ 6.30 Lakh,2020,1197 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,81.80bhp,5,21.01 kmpl,Hatchback,Agra
149,2012 Toyota Etios GD,₹ 2 Lakh,2012,1364 cc,Third Party insurance,Manual,"1,50,000 Kms",Fourth Owner,Diesel,,5,23.59 kmpl,Sedan,Agra
150,2018 Maruti Eeco 7 Seater Standard BSIV,₹ 3.50 Lakh,2018,1196 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Petrol,73bhp,7,15.37 kmpl,Minivans,Agra
151,2016 Honda Amaze S Diesel BSIV,₹ 4 Lakh,2016,1498 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,98.63bhp,5,27.4 kmpl,Sedan,Agra
152,2011 Chevrolet Beat LT,₹ 1.50 Lakh,2011,1199 cc,Third Party insurance,Manual,"90,000 Kms",First Owner,Petrol,79.4bhp,5,18.6 kmpl,Hatchback,Agra
153,2016 Honda Amaze E Diesel BSIV,₹ 4.25 Lakh,2016,1498 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,98.63bhp,5,27.4 kmpl,Sedan,Agra
154,2016 Maruti Swift Dzire VDI,₹ 4.25 Lakh,2016,1248 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,74bhp,5,26.59 kmpl,Sedan,Agra
155,2017 Maruti Swift Dzire VXI,₹ 4 Lakh,2017,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,83.14bhp,5,20.85 kmpl,Sedan,Agra
156,2016 Maruti Swift VXI,₹ 4.60 Lakh,2016,1197 cc,Third Party insurance,Manual,"30,000 Kms",Second Owner,Petrol,81.80bhp,5,21.21 kmpl,Hatchback,Agra
157,2017 Mahindra KUV 100 mFALCON D75 K8,₹ 3.30 Lakh,2017,1198 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Diesel,77bhp,6,25.32 kmpl,SUV,Agra
158,2021 Nissan Magnite XE BSVI,₹ 4.70 Lakh,2021,999 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,71.02bhp,5,18.75 kmpl,SUV,Agra
159,2018 Hyundai Creta 1.6 SX Automatic Diesel,₹ 11.50 Lakh,2018,1582 cc,Third Party insurance,Automatic,"70,000 Kms",Second Owner,Diesel,126.2bhp,5,17.6 kmpl,SUV,Agra
160,2020 Maruti Ciaz Delta BSVI,₹ 7.25 Lakh,2020,1462 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,103.25bhp,5,20.65 kmpl,Sedan,Agra
161,2015 Hyundai i20 Active 1.4 SX,₹ 4 Lakh,2015,1396 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Diesel,88.73bhp,5,21.19 kmpl,Hatchback,Agra
162,2013 Hyundai Grand i10 CRDi Asta,₹ 2.50 Lakh,2013,1120 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,70bhp,5,24 kmpl,Hatchback,Agra
163,2022 MG Astor Sharp BSVI,₹ 14.50 Lakh,2022,1498 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,108.49bhp,5,15.43 kmpl,SUV,Agra
164,2020 Hyundai i20 Sportz 1.2,₹ 6.90 Lakh,2020,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,81.83bhp,5,18.6 kmpl,Hatchback,Agra
165,2015 Hyundai i20 Asta 1.2,₹ 3.50 Lakh,2015,1197 cc,Third Party insurance,Manual,"1,20,000 Kms",Fourth Owner,Petrol,81.83bhp,5,18.6 kmpl,Hatchback,Agra
166,2020 Maruti Celerio Tour 2018-2021 H2 CNG,₹ 3.42 Lakh,2020,998 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,CNG,,5,,Hatchback,Agra
167,2015 Hyundai i20 Asta 1.2,₹ 3.50 Lakh,2015,1197 cc,Third Party insurance,Manual,"1,20,000 Kms",Fourth Owner,Petrol,81.83bhp,5,18.6 kmpl,Hatchback,Agra
168,2015 Hyundai i20 Active 1.4 SX,₹ 4 Lakh,2015,1396 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Diesel,88.73bhp,5,21.19 kmpl,Hatchback,Agra
169,2013 Maruti Ertiga ZDI,₹ 4.25 Lakh,2013,1248 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Diesel,88.8bhp,7,20.77 kmpl,MUV,Agra
170,2014 Audi Q3 2.0 TDI Quattro Premium Plus,₹ 11 Lakh,2014,1968 cc,Third Party insurance,Automatic,"80,000 Kms",Second Owner,Diesel,174.33bhp,5,15.73 kmpl,SUV,Agra
171,2022 Tata Punch Pure Rhythm BSVI,₹ 6 Lakh,2022,1199 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,86.63bhp,5,20.09 kmpl,SUV,Agra
172,2009 Hyundai i20 Magna,₹ 1.50 Lakh,2009,1197 cc,Third Party insurance,Manual,"1,50,000 Kms",Third Owner,Petrol,80 PS at 5200 rpm,5,18.5 kmpl,Hatchback,Agra
173,2004 Honda CR-V 2.4 4WD AT,₹ 1.70 Lakh,2004,2354 cc,Third Party insurance,Automatic,"1,50,000 Kms",Second Owner,Petrol,152 PS,5,10.1 kmpl,SUV,Agra
174,2011 Maruti Wagon R LXI CNG,₹ 1.60 Lakh,2011,998 cc,Third Party insurance,Manual,"70,000 Kms",Fourth Owner,CNG,58.2bhp,5,26.2 kmpl,Hatchback,Agra
175,2009 Hyundai i20 Magna,₹ 1.40 Lakh,2009,1197 cc,Third Party insurance,Manual,"1,50,000 Kms",Second Owner,Petrol,80 PS at 5200 rpm,5,18.5 kmpl,Hatchback,Agra
176,2011 Skoda Fabia 1.2 TDI Active Plus,₹ 1.40 Lakh,2011,1199 cc,Third Party insurance,Manual,"90,000 Kms",Third Owner,Diesel,75bhp,5,20.86 kmpl,Hatchback,Agra
177,2021 Mahindra Thar LX 4-Str Hard Top Diesel BSVI,₹ 15 Lakh,2021,2184 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Diesel,130bhp,4,15.2 kmpl,SUV,Agra
178,2011 Maruti Wagon R VXI BS IV,₹ 2.25 Lakh,2011,998 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Petrol,67.1bhp,5,18.9 kmpl,Hatchback,Agra
179,2019 Hyundai i20 Petrol Magna,₹ 5.50 Lakh,2019,1197 cc,Third Party insurance,Manual,"40,000 Kms",Second Owner,Petrol,81.86bhp,5,18.6 kmpl,Hatchback,Agra
180,2009 Maruti A-Star Vxi,₹ 1.40 Lakh,2009,998 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Petrol,66.1bhp,5,19 kmpl,Hatchback,Agra
181,2017 Maruti Wagon R LXI CNG,₹ 4 Lakh,2017,998 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,CNG,58.16bhp,5,26.6 kmpl,Hatchback,Agra
182,2018 Hyundai Verna CRDi 1.6 SX Option,₹ 9 Lakh,2018,1582 cc,Third Party insurance,Manual,"90,000 Kms",First Owner,Diesel,126.2bhp,5,22 kmpl,Sedan,Agra
183,2010 Honda City 1.5 E MT,₹ 3.15 Lakh,2010,1497 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,"118PS at 6,600 rpm",5,17 kmpl,Sedan,Agra
184,2013 Ford Ecosport 1.5 DV5 MT Trend,₹ 3.50 Lakh,2013,1498 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,89.84bhp,5,22.7 kmpl,SUV,Agra
185,2013 Hyundai EON D Lite Plus,₹ 1.40 Lakh,2013,814 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Agra
186,2021 Maruti Baleno Delta,₹ 7 Lakh,2021,1197 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,81.80bhp,5,21.01 kmpl,Hatchback,Agra
187,2020 Toyota Urban cruiser Premium AT,₹ 8.80 Lakh,2020,1462 cc,Third Party insurance,Automatic,"50,000 Kms",First Owner,Petrol,103.26bhp,5,18.76 kmpl,SUV,Agra
188,2010 BMW 3 Series 320d,₹ 10 Lakh,2010,1995 cc,Third Party insurance,Automatic,"1,00,000 Kms",Second Owner,Diesel,170,5,13.2 kmpl,Sedan,Agra
189,2010 Maruti Swift VXI with ABS,₹ 2.15 Lakh,2010,1197 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Petrol,85ps,5,16.6 kmpl,Hatchback,Agra
190,2013 Renault Duster 110PS Diesel RxZ,₹ 5 Lakh,2013,1461 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,108.45bhp,5,19.01 kmpl,SUV,Agra
191,2012 Chevrolet Tavera 2 LS B4 7 Str BSIII,₹ 2.40 Lakh,2012,2499 cc,Third Party insurance,Manual,"1,50,000 Kms",Second Owner,Diesel,80,7,14.8 kmpl,MUV,Agra
192,2016 Tata Zest Quadrajet 1.3 XM,₹ 3.20 Lakh,2016,1248 cc,Third Party insurance,Manual,"90,000 Kms",Third Owner,Diesel,88.7bhp,5,23 kmpl,Sedan,Agra
193,2012 Maruti Wagon R LXI BS IV,₹ 2 Lakh,2012,998 cc,Third Party insurance,Manual,"1,50,000 Kms",Third Owner,Petrol,67.1bhp,5,18.9 kmpl,Hatchback,Agra
194,2017 Maruti Wagon R LXI Optional,₹ 4 Lakh,2017,998 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,67.04bhp,5,20.51 kmpl,Hatchback,Agra
195,2010 Maruti Ritz VDi,₹ 1.25 Lakh,2010,1248 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Diesel,73.9bhp,5,21.1 kmpl,Hatchback,Agra
196,2018 Hyundai i20 1.2 Asta,₹ 5 Lakh,2018,1197 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Petrol,81.83bhp,5,18.6 kmpl,Hatchback,Agra
197,2017 Tata Tiago 1.05 Revotorq XT,₹ 3.80 Lakh,2017,1047 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Diesel,69bhp,5,27.28 kmpl,Hatchback,Agra
198,2011 Chevrolet Beat Diesel,₹ 1.50 Lakh,2011,936 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Diesel,57.6bhp,5,25.44 kmpl,Hatchback,Agra
199,2017 Hyundai Grand i10 1.2 CRDi Magna,₹ 5.10 Lakh,2017,1186 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,73.97bhp,5,24 kmpl,Hatchback,Agra
200,2011 Mahindra Scorpio VLX SE BSIV,₹ 3 Lakh,2011,2179 cc,Third Party insurance,Manual,"1,50,000 Kms",Second Owner,Diesel,120bhp (86.7kw),8,15.4 kmpl,SUV,Agra
201,2011 Mahindra Scorpio VLX SE BSIV,₹ 3 Lakh,2011,2179 cc,Third Party insurance,Manual,"1,50,000 Kms",Second Owner,Diesel,120bhp (86.7kw),8,15.4 kmpl,SUV,Agra
202,2015 Maruti Wagon R VXI BS IV,₹ 2.50 Lakh,2015,998 cc,Third Party insurance,Manual,"50,000 Kms",Third Owner,Petrol,67.04bhp,5,20.51 kmpl,Hatchback,Agra
203,2015 Maruti Swift Dzire VDI,₹ 4 Lakh,2015,1248 cc,Third Party insurance,Manual,"1,20,000 Kms",Third Owner,Diesel,74bhp,5,26.59 kmpl,Sedan,Agra
204,2012 Hyundai Verna 1.6 SX,₹ 3.70 Lakh,2012,1582 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,126.32bhp,5,22.32 kmpl,Sedan,Agra
205,2021 Audi e-tron 55 Sportback,₹ 96.80 Lakh,Jul-21,0 cc,Third Party insurance,Automatic,"10,500 Kms",First Owner,Electric,300kWbhp,5,,SUV,Gurgaon
206,2018 Audi Q3 30 TFSI Premium FWD,₹ 24.80 Lakh,Dec-18,1395 cc,Comprehensive,Automatic,"45,000 Kms",Second Owner,Petrol,147.51bhp,5,16.9 kmpl,SUV,Gurgaon
207,2018 BMW 6 Series GT 630i Luxury Line 2018-2021,₹ 46.90 Lakh,Jun-18,1998 cc,Third Party insurance,Automatic,"38,000 Kms",First Owner,Petrol,254.7bhp,4,14.28 kmpl,Sedan,Gurgaon
208,2015 Audi A6 35 TFSI Matrix,₹ 21.90 Lakh,Mar-16,1798 cc,Comprehensive,Automatic,"49,000 Kms",Second Owner,Petrol,187.74bhp,5,15.26 kmpl,Sedan,Gurgaon
209,2017 Audi A4 35 TDI Premium Plus,₹ 22.90 Lakh,Feb-18,1968 cc,Zero Dep,Automatic,"46,000 Kms",Second Owner,Diesel,187.74bhp,5,18.25 kmpl,Sedan,Gurgaon
210,2014 Audi Q3 35 TDI Quattro Premium Plus,₹ 13.90 Lakh,Oct-14,1968 cc,Comprehensive,Automatic,"29,000 Kms",First Owner,Diesel,174.33bhp,5,15.73 kmpl,SUV,Gurgaon
211,2016 Audi A4 30 TFSI Technology,₹ 27.90 Lakh,Jun-18,1395 cc,Comprehensive,Automatic,"27,000 Kms",First Owner,Petrol,147.51bhp,5,17.84 kmpl,Sedan,Gurgaon
212,2014 Mercedes-Benz E-Class E250 CDI,₹ 11.90 Lakh,Mar-14,2143 cc,Comprehensive,Automatic,"1,20,000 Kms",Second Owner,Diesel,204bhp,5,13 kmpl,Sedan,Gurgaon
213,2015 Audi Q7 35 TDI Quattro Technology,₹ 36.90 Lakh,Mar-16,2967 cc,Comprehensive,Automatic,"70,000 Kms",First Owner,Diesel,241.4bhp,7,12.07 kmpl,SUV,Gurgaon
214,2012 Mercedes-Benz C-Class C 200 CGI Elegance,₹ 11.90 Lakh,Feb-13,1796 cc,Comprehensive,Automatic,"72,100 Kms",First Owner,Petrol,186bhp,5,11.74 kmpl,Sedan,Gurgaon
215,2022 Audi e-tron 55 Sportback,₹ 1.04 Crore,,0 cc,Third Party insurance,Automatic,"9,900 Kms",,Electric,300kWbhp,5,,SUV,Gurgaon
216,2018 Audi A3 35 TFSI Premium Plus,₹ 24.90 Lakh,Jun-18,1395 cc,Comprehensive,Automatic,"46,300 Kms",First Owner,Petrol,150bhp,5,19.2 kmpl,Sedan,Gurgaon
217,2020 Audi Q8 55 TFSI Quattro BSVI,₹ 89 Lakh,,2995 cc,Third Party insurance,Automatic,"18,000 Kms",,Petrol,340bhp,5,9.8 kmpl,SUV,Gurgaon
218,2018 Audi Q3 35 TDI Quattro Premium Plus,₹ 20.90 Lakh,Aug-18,1968 cc,Comprehensive,Automatic,"38,000 Kms",Second Owner,Diesel,181bhp,5,15.17 kmpl,SUV,Gurgaon
219,2019 Audi A3 35 TFSI Premium Plus,₹ 26.80 Lakh,Jun-19,1395 cc,Comprehensive,Automatic,"26,300 Kms",First Owner,Petrol,150bhp,5,19.2 kmpl,Sedan,Gurgaon
220,2021 Audi RS5 Sportback BSVI,₹ 94.90 Lakh,Dec-21,2894 cc,Third Party insurance,Automatic,"5,600 Kms",First Owner,Petrol,443.87bhp,4,8.8 kmpl,Coupe,Gurgaon
221,2021 Audi RS5 Sportback BSVI,₹ 94.90 Lakh,Dec-21,2894 cc,Comprehensive,Automatic,"7,000 Kms",First Owner,Petrol,443.87bhp,4,8.8 kmpl,Coupe,Gurgaon
222,2019 Audi Q5 40 TDI Premium Plus,₹ 37.80 Lakh,Apr-19,1968 cc,Third Party insurance,Automatic,"48,500 Kms",First Owner,Diesel,188bhp,5,17.01 kmpl,SUV,Gurgaon
223,2018 Audi A6 35 TDI,₹ 29.80 Lakh,May-18,1968 cc,Zero Dep,Automatic,"38,000 Kms",First Owner,Diesel,187.74bhp,5,18.53 kmpl,Sedan,Gurgaon
224,2013 Audi A4 1.8 TFSI Premium Plus,₹ 14.90 Lakh,Nov-13,1798 cc,Comprehensive,Automatic,"43,800 Kms",First Owner,Petrol,167.62bhp,5,15.64 kmpl,Sedan,Gurgaon
225,2022 Audi A6 45 TFSI Technology WO Matrix BSVI,₹ 64.90 Lakh,Sep-22,1984 cc,Zero Dep,Automatic,"2,300 Kms",First Owner,Petrol,241.3bhp,5,14.11 kmpl,Sedan,Gurgaon
226,2021 Audi A6 45 TFSI Technology WO Matrix BSVI,₹ 51.90 Lakh,Jan-21,1984 cc,Zero Dep,Automatic,"24,800 Kms",First Owner,Petrol,241.3bhp,5,14.11 kmpl,Sedan,Gurgaon
227,2020 Audi A6 45 TFSI Technology WO Matrix BSVI,₹ 47.90 Lakh,Sep-20,1984 cc,Zero Dep,Automatic,"36,700 Kms",First Owner,Petrol,241.3bhp,5,14.11 kmpl,Sedan,Gurgaon
228,2015 Audi A6 35 TFSI,₹ 20.90 Lakh,Jan-15,1798 cc,Comprehensive,Automatic,"79,000 Kms",Second Owner,Petrol,187.74bhp,5,15.26 kmpl,Sedan,Gurgaon
229,2017 Audi A3 35 TDI Premium Plus,₹ 19.90 Lakh,Oct-17,1968 cc,Zero Dep,Automatic,"55,400 Kms",First Owner,Diesel,143bhp,5,20.38 kmpl,Sedan,Gurgaon
230,2019 Audi A3 35 TFSI Premium Plus,₹ 27.80 Lakh,Sep-19,1395 cc,Zero Dep,Automatic,"23,700 Kms",First Owner,Petrol,150bhp,5,19.2 kmpl,Sedan,Gurgaon
231,2019 Audi A3 35 TFSI Premium Plus,₹ 26.90 Lakh,Jul-19,1395 cc,Zero Dep,Automatic,"15,600 Kms",First Owner,Petrol,150bhp,5,19.2 kmpl,Sedan,Gurgaon
232,2020 Audi A4 35 QL TFSI Premium Plus,₹ 32.90 Lakh,Mar-20,1395 cc,Zero Dep,Automatic,"29,900 Kms",First Owner,Petrol,147.51bhp,5,17.84 kmpl,Sedan,Gurgaon
233,2018 Audi A3 35 TDI Technology,₹ 22.90 Lakh,Jan-18,1968 cc,Zero Dep,Automatic,"43,500 Kms",First Owner,Diesel,143bhp,5,20.38 kmpl,Sedan,Gurgaon
234,2019 Audi A3 35 TFSI Technology,₹ 26.90 Lakh,Jul-19,1395 cc,Zero Dep,Automatic,"44,000 Kms",First Owner,Petrol,150bhp,5,19.2 kmpl,Sedan,Gurgaon
235,2015 Audi A6 35 TDI,₹ 18.90 Lakh,Nov-15,1968 cc,Comprehensive,Automatic,"85,000 Kms",First Owner,Diesel,187.74bhp,5,18.53 kmpl,Sedan,Gurgaon
236,2017 Hyundai i20 1.4 Sportz,₹ 5.50 Lakh,2017,1396 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Diesel,88.73bhp,5,22.54 kmpl,Hatchback,Agra
237,2020 Maruti Swift AMT ZXI Plus,₹ 7.85 Lakh,2020,1197 cc,Third Party insurance,Automatic,"30,000 Kms",First Owner,Petrol,81.80bhp,5,21.21 kmpl,Hatchback,Lucknow
238,2015 Maruti Swift Dzire VXI,₹ 4.08 Lakh,May-15,1197 cc,Comprehensive,Manual,"76,469 Kms",First Owner,Petrol,88.50bhp,5,22.41 kmpl,Sedan,Lucknow
239,2014 Honda Amaze SX i-VTEC,₹ 3.30 Lakh,Dec-14,1198 cc,Third Party,Manual,"1,18,976 Kms",First Owner,Petrol,86.7bhp,5,18 kmpl,Sedan,Lucknow
240,2018 Mahindra XUV500 W9,₹ 9.52 Lakh,May-18,2179 cc,Comprehensive,Manual,"57,689 Kms",Second Owner,Diesel,152.87bhp,7,15.1 kmpl,SUV,Lucknow
241,2019 Maruti Alto K10 VXI,₹ 3.57 Lakh,Feb-19,998 cc,Third Party,Manual,"27,817 Kms",Second Owner,Petrol,65.71bhp,5,24.39 kmpl,Hatchback,Lucknow
242,2016 Maruti Celerio ZXI AT,₹ 3.66 Lakh,May-16,998 cc,Third Party,Automatic,"62,001 Kms",Third Owner,Petrol,67.04bhp,5,23.1 kmpl,Hatchback,Lucknow
243,2018 Maruti Vitara Brezza VDi Option,₹ 6.28 Lakh,Apr-18,1248 cc,Third Party,Manual,"73,081 Kms",First Owner,Diesel,88.5bhp,5,24.3 kmpl,SUV,Lucknow
244,2021 Nissan Magnite Turbo XL BSVI,₹ 7.13 Lakh,May-21,999 cc,Zero Dep,Manual,"26,387 Kms",First Owner,Petrol,98.63bhp,5,20 kmpl,SUV,Lucknow
245,2013 Chevrolet Beat Diesel LT,₹ 1.55 Lakh,2013,936 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,57.6bhp,5,25.44 kmpl,Hatchback,Lucknow
246,2008 Maruti Swift Dzire VXi,₹ 1.90 Lakh,2008,1298 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,85.8bhp,5,17.5 kmpl,Sedan,Lucknow
247,2011 Chevrolet Beat LT,"₹ 60,000",2011,1199 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Petrol,79.4bhp,5,18.6 kmpl,Hatchback,Lucknow
248,2016 Maruti Ertiga SHVS VDI,₹ 6.40 Lakh,2016,1248 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Diesel,88.5bhp,7,24.52 kmpl,MUV,Lucknow
249,2012 Hyundai i10 Magna,₹ 2.50 Lakh,2012,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,78.9bhp,5,20.36 kmpl,Hatchback,Lucknow
250,2015 Maruti Swift Dzire VXI,₹ 3.90 Lakh,2015,1197 cc,Third Party insurance,Manual,"1,20,000 Kms",Third Owner,Petrol,83.14bhp,5,20.85 kmpl,Sedan,Lucknow
251,2015 Hyundai i20 Sportz 1.4 CRDi,₹ 5.50 Lakh,2015,1396 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,88.73bhp,5,22.54 kmpl,Hatchback,Lucknow
252,2022 Tata Tigor XZ Plus CNG BSVI,₹ 7.28 Lakh,Mar-22,1199 cc,Zero Dep,Manual,"49,551 Kms",First Owner,CNG,72.40bhp,5,26.49 kmpl,Sedan,Lucknow
253,2016 Maruti Baleno 1.2 Sigma,₹ 4.32 Lakh,Jun-16,1197 cc,Third Party,Manual,"91,117 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Lucknow
254,2020 Mercedes-Benz GLE 450 BSVI,₹ 91.75 Lakh,Jul-20,2999 cc,Third Party insurance,Automatic,"50,852 Kms",First Owner,Petrol,362.07bhp,5,,SUV,Delhi
255,2017 Maruti Baleno 1.2 Delta,₹ 5.06 Lakh,Jun-17,1197 cc,Third Party,Manual,"69,056 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Lucknow
256,2019 Maruti Baleno Delta,₹ 6.34 Lakh,Jun-19,1197 cc,Third Party,Manual,"37,503 Kms",First Owner,Petrol,81.80bhp,5,21.01 kmpl,Hatchback,Lucknow
257,2016 Maruti Wagon R VXI BS IV,₹ 3.36 Lakh,Jul-16,998 cc,Comprehensive,Manual,"47,202 Kms",First Owner,Petrol,67.04bhp,5,20.51 kmpl,Hatchback,Lucknow
258,2017 Honda WR-V i-VTEC S,₹ 5.42 Lakh,Jun-17,1199 cc,Third Party,Manual,"37,746 Kms",First Owner,Petrol,88.7bhp,5,17.5 kmpl,SUV,Lucknow
259,2018 Ford Ecosport 1.5 Diesel Trend Plus BSIV,₹ 6.54 Lakh,Jun-18,1498 cc,Third Party,Manual,"57,535 Kms",Second Owner,Diesel,98.96bhp,5,23 kmpl,SUV,Lucknow
260,2018 Hyundai i20 1.2 Spotz,₹ 5.56 Lakh,Jun-18,1197 cc,Third Party,Manual,"47,909 Kms",First Owner,Petrol,81.83bhp,5,18.6 kmpl,Hatchback,Lucknow
261,2014 Maruti Alto 800 CNG LXI,₹ 2 Lakh,2014,796 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,CNG,47.3bhp,5,30.46 kmpl,Hatchback,Lucknow
262,2022 Renault Kiger RXT AMT,₹ 5.85 Lakh,2022,999 cc,Third Party insurance,Automatic,"10,000 Kms",First Owner,Petrol,71.01bhp,5,19.03 kmpl,SUV,Lucknow
263,2014 Maruti Swift Dzire VDI,₹ 3.80 Lakh,2014,1248 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,74bhp,5,23.4 kmpl,Sedan,Lucknow
264,2016 Ford Ecosport 1.5 TDCi Trend BSIV,₹ 6 Lakh,2016,1498 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Diesel,98.59bhp,5,22.77 kmpl,SUV,Lucknow
265,2015 Mercedes-Benz CLA 200 CDI Sport,₹ 16 Lakh,2015,2143 cc,Third Party insurance,Automatic,"1,20,000 Kms",First Owner,Diesel,136bhp,5,17.9 kmpl,Sedan,Lucknow
266,2020 Maruti Wagon R VXI,₹ 4.80 Lakh,2020,998 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Petrol,67.05bhp,5,21.79 kmpl,Hatchback,Lucknow
267,2015 Maruti Swift VDI BSIV,₹ 3.50 Lakh,Jun-15,1248 cc,Zero Dep,Manual,"69,981 Kms",First Owner,Diesel,74bhp,5,25.2 kmpl,Hatchback,Lucknow
268,2018 Maruti Baleno 1.2 Delta,₹ 5.41 Lakh,Sep-18,1197 cc,Zero Dep,Manual,"18,185 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Lucknow
